source,target,interaction_freq,last_interaction
0,236,328,2023-02-27 00:00:00
0,186,13,2023-05-21 00:00:00
0,122,126,2023-04-25 00:00:00
0,285,72,2023-02-22 00:00:00
0,24,347,2023-10-07 00:00:00
0,346,45,2023-10-30 00:00:00
0,271,217,2023-01-17 00:00:00
0,304,16,2023-02-17 00:00:00
0,176,112,2023-04-30 00:00:00
0,9,259,2023-11-05 00:00:00
0,130,14,2023-10-15 00:00:00
0,329,102,2023-11-29 00:00:00
0,204,360,2023-10-07 00:00:00
0,213,215,2023-04-23 00:00:00
0,252,230,2023-10-29 00:00:00
0,332,143,2023-01-04 00:00:00
0,82,389,2023-03-23 00:00:00
0,65,358,2023-08-05 00:00:00
0,276,175,2023-05-23 00:00:00
0,26,80,2023-04-21 00:00:00
0,280,491,2023-06-22 00:00:00
0,272,53,2023-02-17 00:00:00
0,211,195,2023-02-19 00:00:00
0,199,184,2023-06-26 00:00:00
0,84,310,2023-05-16 00:00:00
0,133,374,2023-08-24 00:00:00
0,62,275,2023-03-05 00:00:00
0,239,499,2023-07-13 00:00:00
0,172,41,2023-10-10 00:00:00
0,322,151,2023-11-18 00:00:00
0,53,317,2023-07-05 00:00:00
0,3,296,2023-04-09 00:00:00
0,170,361,2023-02-05 00:00:00
0,175,24,2023-12-05 00:00:00
0,46,117,2023-05-29 00:00:00
0,56,233,2023-11-22 00:00:00
0,254,428,2023-07-06 00:00:00
0,194,84,2023-07-09 00:00:00
0,231,182,2023-04-18 00:00:00
0,117,344,2023-05-17 00:00:00
0,127,360,2023-12-16 00:00:00
0,135,332,2023-02-06 00:00:00
0,103,88,2023-10-01 00:00:00
0,188,374,2023-05-06 00:00:00
0,23,195,2023-05-19 00:00:00
0,116,474,2023-11-24 00:00:00
0,73,353,2023-10-13 00:00:00
0,299,113,2023-12-17 00:00:00
0,288,167,2023-01-29 00:00:00
0,315,118,2023-01-17 00:00:00
0,119,413,2023-06-11 00:00:00
0,323,206,2023-05-18 00:00:00
0,48,34,2023-04-19 00:00:00
0,57,468,2023-10-18 00:00:00
0,200,449,2023-06-11 00:00:00
0,98,109,2023-12-02 00:00:00
0,313,256,2023-07-22 00:00:00
0,63,453,2023-11-26 00:00:00
0,344,383,2023-10-27 00:00:00
0,67,113,2023-03-12 00:00:00
0,118,261,2023-09-10 00:00:00
0,325,47,2023-01-25 00:00:00
0,277,217,2023-11-02 00:00:00
0,134,33,2023-07-17 00:00:00
0,270,240,2023-09-28 00:00:00
0,76,129,2023-10-11 00:00:00
0,36,349,2023-02-28 00:00:00
0,223,350,2023-10-02 00:00:00
0,274,175,2023-02-27 00:00:00
0,88,151,2023-08-11 00:00:00
0,21,81,2023-08-21 00:00:00
0,339,2,2023-05-15 00:00:00
0,108,391,2023-04-02 00:00:00
0,197,260,2023-02-24 00:00:00
0,169,446,2023-11-17 00:00:00
0,275,192,2023-03-24 00:00:00
0,273,277,2023-09-29 00:00:00
0,83,450,2023-06-07 00:00:00
0,28,124,2023-10-18 00:00:00
0,312,485,2023-02-10 00:00:00
0,242,44,2023-09-06 00:00:00
0,214,390,2023-09-30 00:00:00
0,20,393,2023-03-06 00:00:00
0,307,66,2023-12-04 00:00:00
0,71,244,2023-10-09 00:00:00
0,333,271,2023-11-07 00:00:00
0,207,217,2023-04-19 00:00:00
0,168,103,2023-06-09 00:00:00
0,308,205,2023-12-10 00:00:00
0,341,232,2023-03-03 00:00:00
0,128,11,2023-10-29 00:00:00
0,334,302,2023-04-23 00:00:00
0,238,363,2023-11-20 00:00:00
0,265,31,2023-04-28 00:00:00
0,141,441,2023-06-19 00:00:00
0,78,37,2023-09-21 00:00:00
0,345,343,2023-09-06 00:00:00
