user_id,age,occupation,gender,age_normalized,occupation_公务员,occupation_其他,occupation_医生,occupation_商人,occupation_学生,occupation_工程师,occupation_教师,occupation_自由职业者,occupation_设计师
0,56,学生,男,0.8085106382978723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,46,学生,男,0.5957446808510638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,32,医生,男,0.2978723404255319,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,60,设计师,女,0.8936170212765958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,25,自由职业者,女,0.14893617021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,38,设计师,男,0.42553191489361697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,56,公务员,男,0.8085106382978723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,36,公务员,女,0.3829787234042553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,40,工程师,女,0.46808510638297873,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,28,其他,男,0.21276595744680848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,28,学生,男,0.21276595744680848,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,41,工程师,男,0.4893617021276595,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,53,商人,男,0.7446808510638298,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,57,医生,女,0.8297872340425531,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,41,医生,女,0.4893617021276595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,20,公务员,男,0.04255319148936171,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,39,自由职业者,男,0.44680851063829785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,19,设计师,男,0.021276595744680826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,41,学生,女,0.4893617021276595,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,61,工程师,男,0.9148936170212766,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,47,设计师,男,0.6170212765957447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
